EESchema (20080528 SVN-R1106)  >> Creation date: 29/5/2008-14:36:02

#Cmp ( order = Reference )
| C1         100uf       ; 2mmradial   
| 3.3k         R63       ; 0402        
| 3.3k         R78       ; 0402        
| 3.3k         R79       ; 0402        
| 3.3k         R94       ; 0402        
| 3.3k         R95       ; 0402        
| 3.3k         R110      ; 0402        
| 3.3k         R111      ; 0402        
| 3.3k         R126      ; 0402        
| 3.3k         R127      ; 0402        
| 3.3k         R142      ; 0402        
| 3.3k         R143      ; 0402        
| 3.3k         R158      ; 0402        
| 3.3k         R159      ; 0402        
| 3.3k         R174      ; 0402        
| 3.3k         R175      ; 0402        
| 3.3uh        L1        ; 1210        
| 3.3uh        L3        ; 1210        
| 30k          R3        ; 0402        
| 33           R45       ; 0402        
| 33           R55       ; 0402        
| 33           R56       ; 0402        
| 33uh         L5        ; ELL6        
| 4.5k         R70       ; 0402        
| 4.5k         R71       ; 0402        
| 4.5k         R86       ; 0402        
| 4.5k         R87       ; 0402        
| 4.5k         R102      ; 0402        
| 4.5k         R103      ; 0402        
| 4.5k         R118      ; 0402        
| 4.5k         R119      ; 0402        
| 4.5k         R134      ; 0402        
| 4.5k         R135      ; 0402        
| 4.5k         R150      ; 0402        
| 4.5k         R151      ; 0402        
| 4.5k         R166      ; 0402        
| 4.5k         R167      ; 0402        
| 4.5k         R182      ; 0402        
| 4.5k         R183      ; 0402        
| 5.6k         R68       ; 0402        
| 5.6k         R69       ; 0402        
| 5.6k         R84       ; 0402        
| 5.6k         R85       ; 0402        
| 5.6k         R100      ; 0402        
| 5.6k         R101      ; 0402        
| 5.6k         R116      ; 0402        
| 5.6k         R117      ; 0402        
| 5.6k         R132      ; 0402        
| 5.6k         R133      ; 0402        
| 5.6k         R148      ; 0402        
| 5.6k         R149      ; 0402        
| 5.6k         R164      ; 0402        
| 5.6k         R165      ; 0402        
| 5.6k         R180      ; 0402        
| 5.6k         R181      ; 0402        
| 50           R12       ; 0402        
| 50           R15       ; 0402        
| 50           R16       ; 0402        
| 50           R17       ; 0402        
| 500          R52       ; 0402        
| 500k         R24       ; 0402        
| 500k         R38       ; 0402        
| 500k         R46       ; 0402        
| 500k         R53       ; 0402        
| 500k         R191      ; 0402        
| 50k          R7        ; 0402        
| 50k          R23       ; 0402        
| 50k          R42       ; 0402        
| 50k          R51       ; 0402        
| 56.2         R188      ; 0402        
| 58k          R60       ; 0402        
| 58k          R61       ; 0402        
| 58k          R76       ; 0402        
| 58k          R77       ; 0402        
| 58k          R92       ; 0402        
| 58k          R93       ; 0402        
| 58k          R108      ; 0402        
| 58k          R109      ; 0402        
| 58k          R124      ; 0402        
| 58k          R125      ; 0402        
| 58k          R140      ; 0402        
| 58k          R141      ; 0402        
| 58k          R156      ; 0402        
| 58k          R157      ; 0402        
| 58k          R172      ; 0402        
| 58k          R173      ; 0402        
| 5k           R18       ; 0402        
| 6.8nf        C19       ; 0402        
| 6.8nf        C20       ; 0402        
| 6.8uh        L6        ; 1008        
| 74LCX541     U4        ; TSSOP-20    
| 74LCX541     U18       ; TSSOP-20    
| 74LCX541     U22       ; TSSOP-20    
| 74LV594ADBR  U3        ; TSSOP-16    
| 78250M       U46       ; 78250       
| 7pf          C67       ; 0402        
| 7pf          C70       ; 0402        
| 820k         R66       ; 0402        
| 820k         R67       ; 0402        
| 820k         R82       ; 0402        
| 820k         R83       ; 0402        
| 820k         R98       ; 0402        
| 820k         R99       ; 0402        
| 820k         R114      ; 0402        
| 820k         R115      ; 0402        
| 820k         R130      ; 0402        
| 820k         R131      ; 0402        
| 820k         R146      ; 0402        
| 820k         R147      ; 0402        
| 820k         R162      ; 0402        
| 820k         R163      ; 0402        
| 820k         R178      ; 0402        
| 820k         R179      ; 0402        
| 82k          R49       ; 0402        
| 82k          R50       ; 0402        
| 8X100        U44       ; 8x100mil    
| 8X2X100      U36       ; 2x8x100mil  
| 8X2X100      U37       ; 2x8x100mil  
| ABM10XTAL    U21       ; ABM10       
| ADM3202      U12       ; TSSOP-16    
| ADM6713      U7        ; SC-70-4     
| ADSP_JTAG_CON U19       ; 7x2x100     
| ADUM2400     U39       ; SOICW-16    
| ADUM2400     U40       ; SOICW-16    
| AT45DB081D   U8        ; SOIC-8      
| BAT54A       U26       ; SOT-23      
| BAT54A       U31       ; SOT-23      
| BAT54A       U32       ; SOT-23      
| BAT54A       U108      ; SOT-23      
| BAT54S       U23       ; SOT-23      
| BAT54S       U24       ; SOT-23      
| BAT54S       U45       ; SOT-23      
| BAT54S       U48       ; SOT-23      
| BC847BPN     U58       ; SOT-363     
| BC847BPN     U59       ; SOT-363     
| BC847BPN     U60       ; SOT-363     
| BC847BPN     U61       ; SOT-363     
| BC847BPN     U64       ; SOT-363     
| BC847BPN     U65       ; SOT-363     
| BC847BPN     U66       ; SOT-363     
| BC847BPN     U67       ; SOT-363     
| BC847BPN     U70       ; SOT-363     
| BC847BPN     U71       ; SOT-363     
| BC847BPN     U72       ; SOT-363     
| BC847BPN     U73       ; SOT-363     
| BC847BPN     U76       ; SOT-363     
| BC847BPN     U77       ; SOT-363     
| BC847BPN     U78       ; SOT-363     
| BC847BPN     U79       ; SOT-363     
| BC847BPN     U82       ; SOT-363     
| BC847BPN     U83       ; SOT-363     
| BC847BPN     U84       ; SOT-363     
| BC847BPN     U85       ; SOT-363     
| BC847BPN     U88       ; SOT-363     
| BC847BPN     U89       ; SOT-363     
| BC847BPN     U90       ; SOT-363     
| BC847BPN     U91       ; SOT-363     
| BC847BPN     U94       ; SOT-363     
| BC847BPN     U95       ; SOT-363     
| BC847BPN     U96       ; SOT-363     
| BC847BPN     U97       ; SOT-363     
| BC847BPN     U100      ; SOT-363     
| BC847BPN     U101      ; SOT-363     
| BC847BPN     U102      ; SOT-363     
| BC847BPN     U103      ; SOT-363     
| BF534/6/7    U16       ; MBGA-182    
| CAT32TDI     U28       ; SOT-23-6    
| F2110        F1        ; 1206        
| FAN2001      U5        ; MLP-6       
| FAN2001      U11       ; MLP-6       
| FCI_USB_B    U35       ; FCI_USB_A   
| FDV301N      U13       ; SOT-23      
| ferrite      L2        ; 0603        
| ferrite      L4        ; 0603        
| ferrite      L7        ; 0603        
| INA2322      U62       ; TSSOP-14    
| INA2322      U68       ; TSSOP-14    
| INA2322      U74       ; TSSOP-14    
| INA2322      U80       ; TSSOP-14    
| INA2322      U86       ; TSSOP-14    
| INA2322      U92       ; TSSOP-14    
| INA2322      U98       ; TSSOP-14    
| INA2322      U104      ; TSSOP-14    
| JUMP         U2        ; 2x100mil    
| JUMP         U30       ; 2x100mil    
| JUMP         U43       ; 2x100mil    
| JUMP         U49       ; 2x100mil    
| JUMP         U110      ; 2x100mil    
| JUMP         U111      ; 2x100mil    
| JUMP         U112      ; 2x100mil    
| LAN83C185    U15       ; TQFP-64     
| LED          D5        ; 0603        
| LED          D6        ; 0603        
| MAX253       U47       ; SOIC-8      
| MAX3421E     U29       ; TQFP-32     
| MCP3304      U51       ; SOIC-16     
| MCP3304      U53       ; SOIC-16     
| MCP3304      U55       ; SOIC-16     
| MCP3304      U57       ; SOIC-16     
| MNR18        U50       ; 0603x8      
| MNR18        U52       ; 0603x8      
| MNR18        U54       ; 0603x8      
| MNR18        U56       ; 0603x8      
| MT48LC16M16A2 U10       ; VFBGA-54    
| NDDS336P     Q1        ; SOT-23      
| NDS336P      Q2        ; SOT-23      
| NDS336P      Q3        ; SOT-23      
| NRF24L01-BREAK U6        ; 8x100mil    
| NX3225SA     U106      ; NDK_XTAL    
| NXT_CONN     U25       ; NXT_CONN    
| OPA4348      U63       ; TSSOP-14    
| OPA4348      U69       ; TSSOP-14    
| OPA4348      U75       ; TSSOP-14    
| OPA4348      U81       ; TSSOP-14    
| OPA4348      U87       ; TSSOP-14    
| OPA4348      U93       ; TSSOP-14    
| OPA4348      U99       ; TSSOP-14    
| OPA4348      U105      ; TSSOP-14    
| REG101       U107      ; SOIC-8      
| RS232_CON    U14       ; DB9         
| S8354MC      U27       ; SOT-23-5    
| SFE-MAGJACK  U9        ; SFE-MAGJACK 
| SPI_LCD      U34       ; HIROSE-10   
| TESTCON      U1        ; 7x100mil    
| TLE2426      U109      ; SOIC-8      
| uclamp0501H  D1        ; SOD-523     
| uclamp0501H  D2        ; SOD-523     
| uclamp0501H  D3        ; SOD-523     
| uclamp0501H  D4        ; SOD-523     
| uclamp0501H  D7        ; SOD-523     
| uclamp0501H  D8        ; SOD-523     
| uclamp0501H  D9        ; SOD-523     
| UCLAMP33     D10       ; SOD-323     
| UCLAMP33     D11       ; SOD-323     
| ZENER        D12       ; 0603        
| ZR4040-2.5   U42       ; SOT-23      
#End Cmp

#End List
